#TEXT/SIMPLE
# ENERG_HI FLUXDENS
0.4000000 2.4489371571690e-02
0.5000000 8.3901803009212e-03
0.6000000 1.1381199583411e-02
0.7000000 1.0626536095515e-02
0.8000000 2.3573953658342e-02
0.9000000 3.5168449394405e-02
1.0 4.6352893114090e-02
1.100000 4.9257497303188e-02
1.200000 6.9176517426968e-02
1.300000 6.9994051009417e-02
1.400000 5.9879845939577e-02
1.500000 7.0657469332218e-02
1.600000 6.1828680336475e-02
1.700000 6.6587538458407e-02
1.800000 4.9563571810722e-02
1.900000 6.7843631841242e-02
2.0 4.6513350680470e-02
2.100000 3.1666241120547e-02
2.200000 4.7351317480206e-02
2.300000 4.0911170653999e-02
2.400000 3.8427505642176e-02
2.500000 2.8406868223101e-02
2.600000 3.5780435428023e-02
2.700000 3.0443568248302e-02
2.800000 2.2511212155223e-02
2.900000 2.4615025613457e-02
3.0 2.0978478714824e-02
3.100000 2.0156721584499e-02
3.200000 1.5478575369343e-02
3.300000 1.7270335229114e-02
3.400000 1.5084639890119e-02
3.500000 1.1750514386222e-02
3.600000 1.2650152202696e-02
3.700000 1.2583703501150e-02
3.800000 1.1344713857397e-02
3.900000 8.3136436296627e-03
4.0 9.7894831560552e-03
4.100000 8.3642581012100e-03
4.200000 5.7751359418035e-03
4.300000 7.2325719520450e-03
4.400000 6.2065134989098e-03
4.500000 5.9369159862399e-03
4.600000 5.4142478620633e-03
4.700000 5.1188061479479e-03
4.800000 4.6035478590056e-03
4.900000 3.7543801590800e-03
5.0 4.1911905282177e-03
5.100000 3.6289604031481e-03
5.200000 3.6176678258926e-03
5.300000 3.3807690488175e-03
5.400000 3.3852935303003e-03
5.500000 2.7904909802601e-03
5.600000 2.3501408577431e-03
5.700000 1.9792521197814e-03
5.800000 2.1971178648528e-03
5.900000 2.3634126409888e-03
6.0 1.7836202459875e-03
6.100000 2.2064443328418e-03
6.200000 2.1981459576637e-03
6.300000 1.3058740296401e-03
6.400000 1.1851810268126e-03
6.500000 1.0348214709666e-03
6.600000 1.1332451686030e-03
6.700000 7.7599572250620e-04
6.800000 1.5339277160820e-03
6.900000 9.3875409220345e-04
7.0 1.2425449676812e-03
7.100000 1.5973256085999e-03
7.200000 1.0070460120915e-03
7.300000 8.2996630226262e-04
7.400000 1.8273260502610e-03
7.500000 1.0050669516204e-03
7.600000 7.3697650805116e-04
7.700000 8.1156511441804e-04
7.800000 1.3369912630878e-03
7.900000 0.0
8.0 1.0777371790027e-03
